都道府県名,市町村名,対象場所,URL,現在画像URL,通常画像URL
茨城県,稲敷市,浮島（上）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270028,https://www.river.go.jp/e/cctv/latest/21270028/C03153.jpg,https://www.river.go.jp/e/cctv/usual/21270028/000780586.jpg
茨城県,稲敷市,西の洲(下),"https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=下)（CCTVカメラ）""",,
茨城県,稲敷市,西の洲,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270031,https://www.river.go.jp/e/cctv/latest/21270031/C03144.jpg,https://www.river.go.jp/e/cctv/usual/21270031/000780584.jpg
茨城県,稲敷市,古渡,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270032,https://www.river.go.jp/e/cctv/latest/21270032/C03143.jpg,https://www.river.go.jp/e/cctv/usual/21270032/000780587.jpg
茨城県,稲敷市,信太古渡,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270034,https://www.river.go.jp/e/cctv/latest/21270034/C03163.jpg,https://www.river.go.jp/e/cctv/usual/21270034/000780589.jpg
茨城県,かすみがうら市,出島,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270001,https://www.river.go.jp/e/cctv/latest/21270001/C03148.jpg,https://www.river.go.jp/e/cctv/usual/21270001/000780585.jpg
茨城県,かすみがうら市,崎浜,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270027,https://www.river.go.jp/e/cctv/latest/21270027/C03161.jpg,https://www.river.go.jp/e/cctv/usual/21270027/000780581.jpg
茨城県,かすみがうら市,牛渡,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270029,https://www.river.go.jp/e/cctv/latest/21270029/C03151.jpg,https://www.river.go.jp/e/cctv/usual/21270029/000780582.jpg
茨城県,かすみがうら市,沖ノ内,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270033,https://www.river.go.jp/e/cctv/latest/21270033/C03150.jpg,https://www.river.go.jp/e/cctv/usual/21270033/000780588.jpg
茨城県,神栖市,利根川・太田新田（茨城・波崎）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010009,https://www.river.go.jp/e/cctv/latest/8010009/camera005_101.jpg,
茨城県,神栖市,常陸川水門上流全体,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270007,https://www.river.go.jp/e/cctv/latest/21270007/C03139.jpg,https://www.river.go.jp/e/cctv/usual/21270007/000780760.jpg
