種別,提供元,タイトル,リンク,発行日時,サマリ,エリア(都道府県)
,テレビ大阪,家電大手のシャープ　医療・介護事業を強化へ(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200908-00000003-tvosaka-l27&source=rss,2020-09-08T09:22:02.000Z,家電メーカーのシャープが医療・介護現場への進出を本格化させます。シャープは高精細の８Ｋの技術や家電とインターネットを繋ぐＩＯＴ家電の技術を活用し、医療施設や介護施設への参入を強化します。,大阪府
,テレビ大阪,ボクシング世界王者・京口紘人　11月3日に大阪で世界タイトル防衛戦決定と報告　(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200908-00000002-tvosaka-l27&source=rss,2020-09-08T09:17:02.000Z,新型コロナでイベントの制限後初となるボクシングのタイトルマッチ開催を知事に報告しました。大阪府庁にやってきたのは大阪府出身のＷＢＡ世界ライトフライ級王者、京口紘人選手。コロナで延期にな,大阪府
,テレビ大阪,胡蝶蘭で占う今後の景気(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200908-00000001-tvosaka-l27&source=rss,2020-09-08T08:50:02.000Z,新型コロナウイルスの景気への影響を美しいコチョウランの花から見てみると？大阪・泉南市にあるこちらの農園。育てているのは、１０種類およそ１万５０００株の胡蝶蘭です。家に飾れるようなサイズの,大阪府
,テレビ大阪,”ゲーム感覚”　自宅で視力検査、オンライン”非接触”でメガネを購入(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200907-00000003-tvosaka-l27&source=rss,2020-09-07T09:48:02.000Z,非接触で販売する新たなサービス。【アプリ】「ようこそ」【店員】「今しゃべってると思いますけど」【記者】「しゃべってますね」一見、ゲームをしているようにも見えますが…【記者】「今やってい,大阪府
,テレビ大阪,大阪のローソン　メルカリやヤフオク「非接触」セルフで発送(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200907-00000002-tvosaka-l27&source=rss,2020-09-07T09:43:02.000Z,キーワードは”非接触”。コロナ禍で先行きの見えないなか、いかに客と店員の接触を減らすか。企業の新しいサービスが続々と始まっています。９月から大阪市平野区と東住吉区のローソン１５店舗で設置された「ス,大阪府
,テレビ大阪,大阪都構想　住民投票11月1日に決定！(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200907-00000001-tvosaka-l27&source=rss,2020-09-07T09:36:02.000Z,いわゆる「大阪都構想」の是非を問う住民投票の日程が正式に決まりました。大阪市を廃止して４つの特別区を設ける「大阪都構想」を巡り、大阪市の選挙管理委員会は９月７日、告示を１０月１２日、投開票を１１月,大阪府
,テレビ大阪,都構想 立憲辻元幹事長代行が反対運動開始(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200904-00000002-tvosaka-l27&source=rss,2020-09-04T10:05:02.000Z,５年ぶり２度目の実施が決まった、いわゆる大阪都構想の住民投票。早くも反対派が行動を開始しました。【立憲民主党  辻元清美 幹事長代行】「維新もしぶといな、ほんまに1回否決されたことをもう1回ぶ,大阪府
,FBCテレビ福井,高校生が旬の食材を使って薬膳料理を学ぶ（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200917-00000538-fbc-l18&source=rss,2020-09-17T09:48:54.000Z,小浜市の高校生が季節の食材で薬膳料理を作り、しょう油のこうじを使って塩分を控える料理法などを学んだ。（９月１７日）薬膳料理の調理実習を行ったのは、若狭東高校生活創造科の３年生。塩分を控える薬,福井県
,FBCテレビ福井,感染拡大警報と東京への移動自粛を解除へ（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200917-00000541-fbc-l18&source=rss,2020-09-17T09:31:18.000Z,新型コロナウイルスの感染状況について、県は「第２波が落ち着きつつある」として、今月２４日で感染拡大警報と東京への移動の自粛要請を解除する。（９月１７日）県内では、９日連続で新たな感染者が確認され,福井県
,FBCテレビ福井,携帯電話のバッテリー拠点にＪＲ福井駅追加（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200917-00000542-fbc-l18&source=rss,2020-09-17T09:18:39.000Z,スマートフォンなどの充電用のバッテリーを貸し出す全国展開のサービス拠点に、ＪＲ福井駅の観光案内所が新たに加わった。（９月１７日）このサービスは福井市観光協会が始めたもので、都内のモバイルバッテリ,福井県
